start_s,end_s,band,freq_min_hz,freq_max_hz
1.416,1.834,sub_bass,20,60
2.159,2.322,mid,500,2000
3.019,3.274,bass,60,250
4.063,4.296,sub_bass,20,60
4.412,4.644,sub_bass,20,60
4.969,5.387,bass,60,250
5.666,5.898,bass,60,250
6.687,7.291,sub_bass,20,60
7.430,7.593,mid,500,2000
8.057,8.290,sub_bass,20,60
8.290,8.499,bass,60,250
8.731,8.940,sub_bass,20,60
9.381,9.590,sub_bass,20,60
9.729,10.054,bass,60,250
10.077,10.635,bass,60,250
10.635,11.076,sub_bass,20,60
11.285,11.564,sub_bass,20,60
11.633,11.889,sub_bass,20,60
11.958,12.562,sub_bass,20,60
12.701,12.980,bass,60,250
12.980,13.189,mid,500,2000
13.282,13.723,sub_bass,20,60
13.932,14.187,sub_bass,20,60
14.257,14.536,sub_bass,20,60
14.605,15.186,sub_bass,20,60
15.348,15.511,bass,60,250
15.627,15.790,low_mid,250,500
15.906,16.347,sub_bass,20,60
16.556,16.834,sub_bass,20,60
16.904,17.160,sub_bass,20,60
17.229,17.833,sub_bass,20,60
17.972,18.135,bass,60,250
18.251,18.506,mid,500,2000
18.506,21.200,bass,60,250
21.200,21.804,sub_bass,20,60
22.175,22.430,sub_bass,20,60
22.500,23.104,sub_bass,20,60
23.290,23.824,bass,60,250
23.824,24.427,sub_bass,20,60
24.822,25.078,sub_bass,20,60
25.147,25.751,sub_bass,20,60
26.122,26.331,low_mid,250,500
26.471,27.074,sub_bass,20,60
27.446,27.725,sub_bass,20,60
27.794,28.398,sub_bass,20,60
28.537,29.048,bass,60,250
29.095,29.536,bass,60,250
29.582,30.023,bass,60,250
30.070,30.511,bass,60,250
30.557,30.999,bass,60,250
31.347,31.579,bass,60,250
31.742,32.160,sub_bass,20,60
32.740,32.996,sub_bass,20,60
33.065,33.669,sub_bass,20,60
34.389,34.807,sub_bass,20,60
35.364,35.643,sub_bass,20,60
35.689,36.293,sub_bass,20,60
36.664,36.897,mid,500,2000
37.013,37.454,sub_bass,20,60
38.011,38.266,sub_bass,20,60
38.336,38.940,sub_bass,20,60
39.242,39.544,mid,500,2000
39.660,39.915,bass,60,250
39.938,41.564,bass,60,250
41.633,42.307,bass,60,250
42.307,42.887,sub_bass,20,60
42.957,43.212,sub_bass,20,60
43.282,43.537,sub_bass,20,60
43.607,44.211,sub_bass,20,60
44.373,44.698,bass,60,250
44.931,45.534,sub_bass,20,60
45.581,45.859,sub_bass,20,60
45.929,46.184,sub_bass,20,60
46.254,46.858,sub_bass,20,60
46.997,47.160,bass,60,250
47.229,47.438,mid,500,2000
47.578,48.181,sub_bass,20,60
48.228,48.506,sub_bass,20,60
48.553,48.832,sub_bass,20,60
48.878,49.482,sub_bass,20,60
49.644,49.969,bass,60,250
50.202,50.643,sub_bass,20,60
50.875,51.316,sub_bass,20,60
51.525,51.966,sub_bass,20,60
52.477,52.733,bass,60,250
52.849,53.568,sub_bass,20,60
53.801,54.822,bass,60,250
55.101,56.146,bass,60,250
56.424,57.446,bass,60,250
57.562,58.120,bass,60,250
58.120,58.839,sub_bass,20,60
58.886,59.118,bass,60,250
59.118,59.397,sub_bass,20,60
59.443,60.163,sub_bass,20,60
60.209,60.442,bass,60,250
60.442,60.720,sub_bass,20,60
60.767,61.463,sub_bass,20,60
61.533,61.765,bass,60,250
61.765,62.020,sub_bass,20,60
62.090,62.694,sub_bass,20,60
62.694,63.321,mid,500,2000
63.414,63.832,sub_bass,20,60
64.134,64.319,bass,60,250
64.412,64.691,sub_bass,20,60
64.737,65.364,sub_bass,20,60
65.411,65.712,sub_bass,20,60
66.084,66.502,sub_bass,20,60
66.757,66.943,bass,60,250
67.082,67.361,sub_bass,20,60
67.408,68.034,sub_bass,20,60
68.569,68.754,bass,60,250
68.754,69.195,sub_bass,20,60
69.753,70.031,sub_bass,20,60
70.078,70.705,sub_bass,20,60
70.751,71.053,sub_bass,20,60
71.494,71.796,bass,60,250
72.168,72.446,bass,60,250
72.841,73.143,bass,60,250
73.352,74.002,mid,500,2000
74.095,75.604,sub_bass,20,60
